2025-03-07 15:32:58,259 INFO    MainThread:29542 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-07 15:32:58,260 INFO    MainThread:29542 [wandb_setup.py:_flush():67] Configure stats pid to 29542
2025-03-07 15:32:58,260 INFO    MainThread:29542 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-03-07 15:32:58,260 INFO    MainThread:29542 [wandb_setup.py:_flush():67] Loading settings from /home/keerthana/dl/a1/wandb/settings
2025-03-07 15:32:58,260 INFO    MainThread:29542 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/keerthana/dl/a1/wandb/run-20250307_153258-op4ibcvt/logs/debug.log
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/keerthana/dl/a1/wandb/run-20250307_153258-op4ibcvt/logs/debug-internal.log
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:init():761] calling init triggers
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:init():784] starting backend
2025-03-07 15:32:58,261 INFO    MainThread:29542 [wandb_init.py:init():788] sending inform_init request
2025-03-07 15:32:58,285 INFO    MainThread:29542 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-07 15:32:58,285 INFO    MainThread:29542 [wandb_init.py:init():798] backend started and connected
2025-03-07 15:32:58,286 INFO    MainThread:29542 [wandb_init.py:init():891] updated telemetry
2025-03-07 15:32:58,294 INFO    MainThread:29542 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-07 15:32:58,861 INFO    MainThread:29542 [wandb_init.py:init():990] starting run threads in backend
2025-03-07 15:32:58,905 INFO    MainThread:29542 [wandb_run.py:_console_start():2375] atexit reg
2025-03-07 15:32:58,905 INFO    MainThread:29542 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-07 15:32:58,906 INFO    MainThread:29542 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-07 15:32:58,906 INFO    MainThread:29542 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-07 15:32:58,909 INFO    MainThread:29542 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-07 15:32:58,952 INFO    MsgRouterThr:29542 [mailbox.py:close():129] Closing mailbox, abandoning 2 handles.
